Reference, Value, Footprint, Datasheet
"J3","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
"U1","PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"U2","PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"R1","380","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R2","380","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R5","300","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R6","300","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"Q1","MTA100N10KRI3","Package_TO_SOT_THT:TO-251-3-1EP_Horizontal_TabDown","~"
"Q2","MTA100N10KRI3","Package_TO_SOT_THT:TO-251-3-1EP_Horizontal_TabDown","~"
"R7","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R8","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"Q4","IRLU3410PBF","Package_TO_SOT_THT:TO-251-3-1EP_Horizontal_TabDown","~"
"Q6","IRLU3410PBF","Package_TO_SOT_THT:TO-251-3-1EP_Horizontal_TabDown","~"
"R11","10","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R12","10","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"Q3","IRFU5505PBF","Package_TO_SOT_THT:TO-251-3-1EP_Horizontal_TabDown","~"
"Q5","IRFU5505PBF","Package_TO_SOT_THT:TO-251-3-1EP_Horizontal_TabDown","~"
"R13","10","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R14","10","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"D1","SBM1045VSS","Diode_THT:D_DO-201AD_P3.81mm_Vertical_AnodeUp","~"
"D2","SBM1045VSS","Diode_THT:D_DO-201AD_P3.81mm_Vertical_AnodeUp","~"
"D3","SBM1045VSS","Diode_THT:D_DO-201AD_P3.81mm_Vertical_AnodeUp","~"
"D4","SBM1045VSS","Diode_THT:D_DO-201AD_P3.81mm_Vertical_AnodeUp","~"
"J4","Conn_01x01","PCB-20(632)F:DIP-6_W7.62mm","~"
"J5","Conn_01x01","PCB-20(632)F:DIP-6_W7.62mm","~"
"J2","Conn_01x01","PCB-20(632)F:DIP-6_W7.62mm","~"
"J1","Conn_01x01","PCB-20(632)F:DIP-6_W7.62mm","~"
"RN1","10k","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
"RN2","1k","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
